Cluster
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
2
2
2
2
15
2
3
3
3
3
9
9
9
9
9
9
10
10
9
9
9
9
9
4
4
4
4
4
4
4
4
9
9
9
9
10
9
9
9
4
4
4
4
4
4
4
9
9
10
9
9
4
4
4
4
4
9
9
9
4
4
4
4
9
4
4
4
10
9
9
9
9
9
10
10
9
9
9
4
4
4
4
4
4
9
9
10
10
9
9
9
9
10
10
9
4
4
9
9
4
4
4
4
4
4
10
9
11
11
9
9
10
4
4
4
9
9
9
4
4
4
9
9
9
10
10
9
9
9
11
10
4
4
4
4
4
4
10
10
9
9
9
9
9
10
9
9
4
4
9
10
4
4
4
4
9
10
10
10
9
4
4
4
10
10
4
4
9
9
4
4
4
4
4
4
4
4
10
11
11
9
9
4
4
4
4
4
4
10
10
9
9
9
9
10
10
9
11
11
11
9
4
4
4
9
9
9
9
10
10
9
9
9
9
9
4
4
4
9
9
9
10
10
4
9
9
4
4
4
4
9
9
9
9
9
10
4
9
4
4
4
4
4
10
11
11
11
4
4
4
4
4
4
9
9
10
10
9
9
4
4
4
4
9
9
9
9
9
9
10
4
4
9
4
4
4
10
10
9
9
9
9
4
4
10
9
9
9
9
10
4
4
4
4
4
9
10
9
9
9
9
4
10
10
4
4
4
9
9
9
4
4
4
9
9
9
10
4
4
4
9
11
11
10
4
4
4
4
9
10
10
4
4
4
4
4
4
9
9
9
4
4
10
10
9
4
4
4
10
10
9
9
9
9
10
4
4
4
9
10
10
4
9
4
4
4
4
10
10
9
9
9
9
4
4
4
9
9
4
4
10
10
9
9
9
9
4
4
4
9
9
9
9
9
9
10
10
4
4
4
4
4
10
10
9
9
9
9
4
4
4
4
4
9
9
10
10
4
9
9
9
10
4
4
9
4
4
4
10
10
10
9
4
4
4
4
4
9
9
9
4
4
10
10
9
4
4
9
4
4
4
4
4
4
10
10
9
9
9
9
10
10
9
9
4
4
4
10
10
10
9
9
4
4
4
4
4
4
4
4
9
10
10
10
9
9
10
4
4
4
9
9
11
9
10
4
4
4
4
4
4
4
10
9
9
9
4
4
4
9
9
9
9
10
4
4
9
9
4
10
10
4
4
4
4
4
4
10
9
4
4
4
10
10
9
9
9
10
10
9
4
4
4
10
10
10
9
4
4
4
4
10
9
4
4
4
10
10
4
4
9
9
10
11
10
9
9
4
4
4
4
9
4
4
4
4
4
9
9
10
10
10
9
9
10
10
10
4
4
4
4
10
4
4
4
9
10
4
4
9
9
10
4
9
9
9
10
4
4
4
4
4
4
4
4
9
9
4
10
9
9
9
10
10
10
9
9
9
4
4
4
4
4
5
4
4
4
4
4
9
10
10
4
4
9
10
10
10
10
4
4
4
9
10
10
10
10
9
9
9
10
10
10
4
9
5
4
4
4
4
4
9
10
11
10
10
9
9
9
10
