,Timestamp,Node,Subsystem,Message,Type,Tuple
2152,1167845528,tg-c238,NET,connection down,computation,28
2153,1167845545,tg-c238,I-O,hda: packet command error: error=x,computation,28
2154,1167845732,tg-c383,DEV,GM: LANAI[x]: SRAM PARITY error,computation,28
2155,1167845732,tg-c383,OTH,GM: LANAI[x]: WARNING: libgm gm abort.c:x:gm abort():firmware,computation,28
2156,1167845742,tg-c383,DEV,"firmware error-x:SRAM parity error on NIC, serial no=x",computation,28
2157,1167845742,tg-c383,DEV,gm.interrupt.type =x x,computation,28
2158,1167845742,tg-c383,DEV,is->interrupt.last byte.ready =x x,computation,28
2159,1167845742,tg-c383,DEV,GM: gm exit() called in the OTH: GM aborted<x>GM: NOTICE: drivers gm lanai command.c:x:gm lanai command report error():OTH,computation,28
2160,1167845742,tg-c383,OTH,GM: gm exit() called in the OTH: GM aborted<x>GM: NOTICE: drivers gm lanai command.c:x:gm lanai command report error():OTH,computation,28
