tempo
204.0
206.0
208.0
218.0
221.0
224.0
230.0
231.0
231.0
234.0
238.0
240.0
245.0
253.0
256.0
272.0
276.0
279.0
280.0
311.0
312.0
320.0
626.0
793.0
911.0
929.0
951.0
963.0
1008.0
1042.0
1065.0
1129.0
1138.0
1157.0
2434.0
5643.0
7370.0
11024.0
11024.0
11024.0
11025.0
11025.0
11025.0
11025.0
11025.0
11025.0
11025.0
11025.0
11025.0
11025.0
11025.0
11025.0
22050.0
22050.0
24773.0
404372.0
2260106.0
2510514.0
